Title,Rating,Release Date,Timestamp
肖申克的救赎,9.7,No release date,2024-09-11T14:35:43.840489
霸王别姬,9.6,No release date,2024-09-11T14:35:43.840489
阿甘正传,9.5,No release date,2024-09-11T14:35:43.840489
泰坦尼克号,9.5,No release date,2024-09-11T14:35:43.840489
千与千寻,9.4,No release date,2024-09-11T14:35:43.840489
这个杀手不太冷,9.4,No release date,2024-09-11T14:35:43.841486
美丽人生,9.5,No release date,2024-09-11T14:35:43.841486
星际穿越,9.4,No release date,2024-09-11T14:35:43.841486
盗梦空间,9.4,No release date,2024-09-11T14:35:43.841486
楚门的世界,9.4,No release date,2024-09-11T14:35:43.841486
辛德勒的名单,9.5,No release date,2024-09-11T14:35:43.842482
忠犬八公的故事,9.4,No release date,2024-09-11T14:35:43.842482
海上钢琴师,9.3,No release date,2024-09-11T14:35:43.842482
三傻大闹宝莱坞,9.2,No release date,2024-09-11T14:35:43.842482
放牛班的春天,9.3,No release date,2024-09-11T14:35:43.842482
机器人总动员,9.3,No release date,2024-09-11T14:35:43.842482
疯狂动物城,9.2,No release date,2024-09-11T14:35:43.842482
无间道,9.3,No release date,2024-09-11T14:35:43.842482
控方证人,9.6,No release date,2024-09-11T14:35:43.842482
大话西游之大圣娶亲,9.2,No release date,2024-09-11T14:35:43.843478
熔炉,9.3,No release date,2024-09-11T14:35:43.843478
教父,9.3,No release date,2024-09-11T14:35:43.843478
触不可及,9.3,No release date,2024-09-11T14:35:43.843478
当幸福来敲门,9.2,No release date,2024-09-11T14:35:43.843478
寻梦环游记,9.1,No release date,2024-09-11T14:35:43.843478
末代皇帝,9.3,No release date,2024-09-11T14:35:45.248090
龙猫,9.2,No release date,2024-09-11T14:35:45.248090
怦然心动,9.1,No release date,2024-09-11T14:35:45.248090
哈利·波特与魔法石,9.2,No release date,2024-09-11T14:35:45.248090
活着,9.3,No release date,2024-09-11T14:35:45.248090
蝙蝠侠：黑暗骑士,9.2,No release date,2024-09-11T14:35:45.248090
指环王3：王者无敌,9.3,No release date,2024-09-11T14:35:45.249087
我不是药神,9.0,No release date,2024-09-11T14:35:45.249087
乱世佳人,9.3,No release date,2024-09-11T14:35:45.249087
飞屋环游记,9.1,No release date,2024-09-11T14:35:45.249087
素媛,9.3,No release date,2024-09-11T14:35:45.249087
哈尔的移动城堡,9.1,No release date,2024-09-11T14:35:45.249087
十二怒汉,9.4,1957,2024-09-11T14:35:45.250084
让子弹飞,9.0,No release date,2024-09-11T14:35:45.250084
何以为家,9.1,No release date,2024-09-11T14:35:45.250084
海蒂和爷爷,9.3,No release date,2024-09-11T14:35:45.250084
猫鼠游戏,9.1,No release date,2024-09-11T14:35:45.250084
摔跤吧！爸爸,9.0,No release date,2024-09-11T14:35:45.251086
天空之城,9.2,No release date,2024-09-11T14:35:45.251086
鬼子来了,9.3,No release date,2024-09-11T14:35:45.251086
少年派的奇幻漂流,9.1,No release date,2024-09-11T14:35:45.251086
钢琴家,9.3,No release date,2024-09-11T14:35:45.251086
指环王2：双塔奇兵,9.2,No release date,2024-09-11T14:35:45.251086
大话西游之月光宝盒,9.0,No release date,2024-09-11T14:35:45.252077
闻香识女人,9.1,No release date,2024-09-11T14:35:45.252077
死亡诗社,9.2,No release date,2024-09-11T14:35:46.527074
绿皮书,8.9,No release date,2024-09-11T14:35:46.527074
大闹天宫,9.4,No release date,2024-09-11T14:35:46.527074
罗马假日,9.1,No release date,2024-09-11T14:35:46.527074
黑客帝国,9.1,No release date,2024-09-11T14:35:46.527074
指环王1：护戒使者,9.1,No release date,2024-09-11T14:35:46.527074
天堂电影院,9.2,No release date,2024-09-11T14:35:46.527074
教父2,9.3,No release date,2024-09-11T14:35:46.528072
狮子王,9.1,No release date,2024-09-11T14:35:46.528072
辩护人,9.2,No release date,2024-09-11T14:35:46.528072
饮食男女,9.2,No release date,2024-09-11T14:35:46.528072
搏击俱乐部,9.0,No release date,2024-09-11T14:35:46.528072
本杰明·巴顿奇事,9.0,No release date,2024-09-11T14:35:46.528072
美丽心灵,9.1,No release date,2024-09-11T14:35:46.528072
穿条纹睡衣的男孩,9.2,No release date,2024-09-11T14:35:46.528072
窃听风暴,9.2,No release date,2024-09-11T14:35:46.529068
情书,8.9,No release date,2024-09-11T14:35:46.529068
两杆大烟枪,9.1,No release date,2024-09-11T14:35:46.529068
音乐之声,9.1,No release date,2024-09-11T14:35:46.529068
西西里的美丽传说,8.9,No release date,2024-09-11T14:35:46.529068
看不见的客人,8.8,No release date,2024-09-11T14:35:46.529068
哈利·波特与死亡圣器(下),9.0,No release date,2024-09-11T14:35:46.529068
阿凡达,8.8,No release date,2024-09-11T14:35:46.530065
拯救大兵瑞恩,9.1,No release date,2024-09-11T14:35:46.530065
功夫,8.8,No release date,2024-09-11T14:35:46.530065
小鞋子,9.2,No release date,2024-09-11T14:35:47.809301
飞越疯人院,9.1,No release date,2024-09-11T14:35:47.810298
沉默的羔羊,8.9,No release date,2024-09-11T14:35:47.810298
布达佩斯大饭店,8.9,No release date,2024-09-11T14:35:47.810298
哈利·波特与阿兹卡班的囚徒,9.0,No release date,2024-09-11T14:35:47.810298
蝴蝶效应,8.9,No release date,2024-09-11T14:35:47.810298
禁闭岛,8.9,No release date,2024-09-11T14:35:47.811295
致命魔术,8.9,No release date,2024-09-11T14:35:47.811295
心灵捕手,9.0,No release date,2024-09-11T14:35:47.811295
超脱,9.0,No release date,2024-09-11T14:35:47.811295
低俗小说,8.9,No release date,2024-09-11T14:35:47.811295
